text,size
facebook-rules,3
facebook-scandals,3
facebook-see,3
facebook-seems,3
facebook-selling,3
facebook-sendrequest,3
facebook-sheryl,3
facebook-sold,3
facebook-take,3
facebook-takes,3
facebook-traffic,3
facebook-training,3
facebook-use,3
facebook-used,3
facebook-well,3
facebook-yeah,3
facebook-yutube,3
fix-after,3
fix-check,3
fix-deletefacebook,3
fix-for,3
fix-healthcares,3
fix-in,3
fix-its,3
fix-markzuckerberg,3
fix-oh,3
fix-too,3
fix-we,3
fix-what,3
get-40,3
get-beat,3
get-data,3
get-dirtcheap,3
get-me,3
get-started,3
internet-and,3
internet-deletefacebook,3
mark-z,3
mark-zuckerburg,3
million-affected,3
million-of,3
million-peoples,3
zuckerberg-a,3
zuckerberg-can,3
zuckerberg-could,3
zuckerberg-deletion,3
zuckerberg-had,3
zuckerberg-needs,3
zuckerberg-still,3
cambridgeanalytica-58,2
cambridgeanalytica-affiliate,2
cambridgeanalytica-can,2
cambridgeanalytica-ceo,2
cambridgeanalytica-commonscms,2
cambridgeanalytica-controversy,2
cambridgeanalytica-debate,2
cambridgeanalytica-deletefacebook,2
cambridgeanalytica-diamondandsilk,2
cambridgeanalytica-dont,2
cambridgeanalytica-facebookdatabreach,2
cambridgeanalytica-facebooks,2
cambridgeanalytica-failed,2
cambridgeanalytica-fallout,2
cambridgeanalytica-from,2
cambridgeanalytica-had,2
cambridgeanalytica-helping,2
cambridgeanalytica-here,2
cambridgeanalytica-how,2
cambridgeanalytica-isnt,2
cambridgeanalytica-its,2
cambridgeanalytica-made,2
cambridgeanalytica-meet,2
cambridgeanalytica-mercer,2
cambridgeanalytica-nanother,2
cambridgeanalytica-nstarting,2
cambridgeanalytica-of,2
cambridgeanalytica-ok,2
cambridgeanalytica-pii,2
cambridgeanalytica-projectalamo,2
cambridgeanalytica-sinclair,2
cambridgeanalytica-so,2
cambridgeanalytica-theatlantic,2
cambridgeanalytica-thing,2
cambridgeanalytica-your,2
cambridgeanalytica-zuckerberg,2
data-abuse,2
data-actually,2
data-amp,2
data-analysis,2
data-available,2
data-be,2
data-before,2
data-bobgaito,2
data-brokers,2
data-care,2
data-collected,2
data-company,2
data-copies,2
data-data,2
data-digitalmarketing,2
data-do,2
data-drives,2
data-ethics,2
data-even,2
data-exposed,2
data-f,2
data-grab,2
data-harvested,2
data-here,2
data-how,2
data-if,2
data-it,2
data-leaked,2
data-malicious,2
data-models,2
data-patient,2
data-people,2
data-pimp,2
data-slate,2
data-slurp,2
data-so,2
data-sorry,2
data-the,2
data-time,2
data-users,2
data-watchdogs,2
data-which,2
data-why,2
data-zuckerberg,2
deletefacebook-8,2
deletefacebook-adding,2
deletefacebook-bandwagon,2
deletefacebook-boycottfacebook,2
deletefacebook-deletegoogle,2
deletefacebook-diamondandsilk,2
deletefacebook-did,2
deletefacebook-does,2
deletefacebook-edu00a0u00bdedu00b8u008e,2
deletefacebook-everybody,2
deletefacebook-facebookdataleaks,2
deletefacebook-facebookdeleted,2
deletefacebook-fb,2
deletefacebook-free,2
deletefacebook-freepress,2
deletefacebook-fridayfeeling,2
deletefacebook-fritzbutler,2
deletefacebook-from,2
deletefacebook-have,2
deletefacebook-heres,2
deletefacebook-hey,2
deletefacebook-hi,2
deletefacebook-homespro,2
deletefacebook-instead,2
deletefacebook-ive,2
